,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-819.5728913999999,2024-04-27 00:55:51.128628,2024-04-27 17:38:56.108314,0 days 16:43:04.979686,tanh,16,0.4,4.401144254754009e-07,0.92,0.995,0.00197886372638991,5.0,10,64,medium,0.38463109212466107,PRUNED
1,1,311.05451700000003,2024-04-27 00:55:51.130629,2024-04-27 21:32:53.684635,0 days 20:37:02.554006,relu,512,0.3,7.257830714394218e-08,0.98,0.995,0.0002677255530826762,5.0,20,32,small,0.7548432498320401,COMPLETE
2,2,-860.0,2024-04-27 00:55:51.132629,2024-04-27 19:41:13.107745,0 days 18:45:21.975116,relu,16,0.2,2.6080696111348645e-08,0.9,0.98,0.016067320309485447,0.7,20,512,small,0.5247959736092306,PRUNED
3,3,-14.2704888,2024-04-27 00:55:51.132629,2024-04-27 21:28:50.321543,0 days 20:32:59.188914,tanh,64,0.4,6.110442972534333e-08,1.0,0.9,0.0003408481885113313,0.8,10,16,medium,0.06908768149190103,COMPLETE
4,4,-48.8978314,2024-04-27 00:55:51.132629,2024-04-27 14:00:07.255138,0 days 13:04:16.122509,tanh,256,0.3,0.0005038429333721219,1.0,0.999,0.0008652660717624962,0.5,10,1024,tiny,0.4543632338809167,COMPLETE
5,5,-10.115406000000002,2024-04-27 00:55:51.135629,2024-04-27 14:43:58.298179,0 days 13:48:07.162550,relu,256,0.1,3.690005914169772e-05,1.0,0.9,3.195695650063572e-05,2.0,10,256,tiny,0.19271649295718518,COMPLETE
6,6,,2024-04-27 00:55:51.138627,2024-04-27 01:04:24.620500,0 days 00:08:33.481873,tanh,8,0.2,0.00022721623082074641,0.92,0.9999,0.5644598530307974,0.9,20,16,tiny,0.3642710142949266,PRUNED
7,7,-522.0661078,2024-04-27 00:55:51.140628,2024-04-27 10:07:01.163009,0 days 09:11:10.022381,tanh,256,0.2,0.0003180178667404965,0.92,0.999,0.0004974345702120277,0.6,5,1024,tiny,0.6140827951170759,COMPLETE
8,8,-77.94464339999999,2024-04-27 00:55:51.143628,2024-04-27 20:37:32.760019,0 days 19:41:41.616391,relu,32,0.1,0.03474997313860457,0.8,0.999,0.0077235078605574735,5.0,5,16,medium,0.7748320472031581,COMPLETE
9,9,-1000.0,2024-04-27 00:55:51.144627,2024-04-27 09:12:46.283807,0 days 08:16:55.139180,tanh,64,0.4,4.274751550628529e-08,1.0,0.95,0.694854650314068,0.9,1,128,tiny,0.9561165488739001,COMPLETE
10,10,-1000.0,2024-04-27 00:55:51.147628,2024-04-27 09:29:27.658580,0 days 08:33:36.510952,tanh,64,0.1,0.01931867263417953,0.9,0.95,0.0002047459390645576,2.0,1,1024,small,0.3890309526588541,COMPLETE
11,11,-1000.0,2024-04-27 00:55:51.149629,2024-04-27 15:31:08.261780,0 days 14:35:17.112151,tanh,64,0.4,1.715093638296503e-07,0.9,0.999,0.030030007953965394,0.6,20,1024,small,0.5124275477102483,COMPLETE
12,12,-1000.0,2024-04-27 00:55:51.150628,2024-04-27 14:47:38.995780,0 days 13:51:47.845152,tanh,256,0.1,0.003486286806129535,0.92,0.9,0.012934378032185766,0.8,5,16,medium,0.21289913877614774,PRUNED
13,13,-1000.0,2024-04-27 00:55:51.151629,2024-04-27 21:00:47.849167,0 days 20:04:56.697538,relu,256,0.4,8.10111720711285e-06,0.92,0.98,0.0014233177160344053,0.3,10,16,medium,0.2637169307750815,COMPLETE
14,14,-61.3314136,2024-04-27 00:55:51.231628,2024-04-27 11:54:02.461508,0 days 10:58:11.229880,tanh,512,0.3,1.45582172803466e-07,0.95,0.9,0.00016770244109404656,0.6,10,1024,small,0.5914355001876597,COMPLETE
15,15,-1000.0,2024-04-27 00:55:51.239628,2024-04-27 09:37:33.224897,0 days 08:41:41.985269,relu,128,0.4,5.9581155577423904e-08,0.92,0.9999,7.062249000614268e-05,0.8,5,128,medium,0.5133002554184106,COMPLETE
16,16,,2024-04-27 00:55:51.240628,2024-04-27 01:36:23.208631,0 days 00:40:31.968003,tanh,8,0.2,0.0019665867270795235,0.95,0.995,0.0878418528810603,0.5,5,32,small,0.5147301937378653,PRUNED
17,17,-1000.0,2024-04-27 00:55:51.244628,2024-04-27 09:35:45.142957,0 days 08:39:53.898329,tanh,256,0.3,6.443244793999535e-08,0.8,0.98,0.011910364727219104,0.6,1,256,tiny,0.43978797227737576,COMPLETE
18,18,-696.3061878000001,2024-04-27 00:55:51.247629,2024-04-27 10:10:13.279831,0 days 09:14:22.032202,tanh,512,0.1,0.054405733861115385,0.99,0.99,0.00010409268130200341,5.0,20,512,small,0.14410127768487246,COMPLETE
19,19,,2024-04-27 00:55:51.248628,2024-04-27 00:58:34.875852,0 days 00:02:43.627224,relu,256,0.4,0.08014571431429827,0.92,0.9,0.7875807259573657,5.0,20,64,medium,0.5027781515856549,PRUNED
20,20,19.880651000000004,2024-04-27 00:55:51.249629,2024-04-27 16:56:18.624754,0 days 16:00:27.375125,relu,512,0.2,1.93888831336504e-08,0.99,0.98,0.0001803780036902384,0.5,10,256,small,0.3011490950913013,COMPLETE
21,21,-2.8395082,2024-04-27 00:55:51.250628,2024-04-27 20:13:28.141419,0 days 19:17:36.890791,relu,64,0.4,1.4081870309246482e-05,0.9,0.995,3.343044133346428e-05,0.7,20,128,tiny,0.8032716740406042,COMPLETE
22,22,-695.55686,2024-04-27 00:55:51.251628,2024-04-27 12:21:12.688212,0 days 11:25:21.436584,relu,8,0.3,1.598878102416108e-08,0.8,0.99,0.00013433622248190666,0.5,1,2048,medium,0.9864125096069161,COMPLETE
23,23,1.1255067999999966,2024-04-27 00:55:51.254628,2024-04-27 15:27:10.881776,0 days 14:31:19.627148,tanh,512,0.1,0.00655726774961867,0.95,0.9999,9.301063818894388e-05,0.5,1,64,medium,0.5826306501334835,COMPLETE
24,24,-1000.0,2024-04-27 00:55:51.265628,2024-04-27 03:10:13.616690,0 days 02:14:22.351062,tanh,128,0.2,0.0016929344609861493,0.98,0.999,0.14438702144776178,0.7,1,32,small,0.10057301139078578,PRUNED
25,25,-418.715545,2024-04-27 00:55:51.266630,2024-04-27 09:27:15.364797,0 days 08:31:24.098167,relu,512,0.1,0.0008969168484214919,1.0,0.99,0.0013351558822448934,0.3,1,256,tiny,0.9258023460540338,COMPLETE
26,26,-188.69392,2024-04-27 00:55:51.270628,2024-04-27 19:21:28.005654,0 days 18:25:36.735026,tanh,32,0.3,4.278683007739988e-07,0.98,0.9,0.002667656720837808,5.0,20,1024,tiny,0.5158167895582904,COMPLETE
27,27,-1000.0,2024-04-27 00:55:51.271630,2024-04-27 08:27:04.055013,0 days 07:31:12.783383,tanh,512,0.2,0.0001663289173999753,0.9,0.995,0.06714858748418995,0.8,5,32,medium,0.35438358445077056,PRUNED
28,28,4.906612199999998,2024-04-27 00:55:51.271630,2024-04-27 21:02:37.902742,0 days 20:06:46.631112,tanh,8,0.4,0.029346835575034293,0.98,0.9999,0.0005795781920672818,5.0,5,128,medium,0.714090833325296,COMPLETE
29,29,-1000.0,2024-04-27 00:55:51.274628,2024-04-27 09:20:08.287975,0 days 08:24:17.013347,tanh,512,0.2,3.0263818776365764e-07,0.92,0.995,0.189292523552455,0.5,1,256,tiny,0.8550664244096435,COMPLETE
30,30,-539.9999141999999,2024-04-27 00:55:51.275629,2024-04-27 13:04:00.986723,0 days 12:08:09.711094,tanh,128,0.2,1.1655677887494752e-05,0.9,0.999,0.037351883343526564,2.0,5,8,medium,0.10293771020133824,PRUNED
31,31,-1000.0,2024-04-27 00:55:51.296629,2024-04-27 14:48:03.295644,0 days 13:52:11.999015,tanh,16,0.4,4.846224002192341e-06,1.0,0.999,0.02353190818935206,0.9,5,64,medium,0.7867889127003718,PRUNED
32,32,-1000.0,2024-04-27 00:55:51.301629,2024-04-27 15:26:20.313038,0 days 14:30:29.011409,relu,512,0.2,2.3029149600053284e-07,0.99,0.98,0.07344005338901935,0.3,5,8,small,0.8021846073971549,PRUNED
33,33,30.8209158,2024-04-27 00:55:51.303627,2024-04-27 18:59:16.055225,0 days 18:03:24.751598,relu,32,0.1,0.003957972552807437,0.92,0.95,0.0004886922712409469,0.6,10,256,medium,0.9991523966782171,COMPLETE
34,34,-203.7255096,2024-04-27 00:55:51.304627,2024-04-27 12:25:05.505903,0 days 11:29:14.201276,relu,256,0.2,1.7733705586486202e-05,1.0,0.99,0.0010620612296155703,0.9,20,1024,tiny,0.6516232770633722,COMPLETE
